"workclass","education","marital_status","occupation","relationship","race","sex","income"
"State gov","Assoc voc","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Wife","Other"," Female","<= 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Federal gov","Bachelors","Divorced","Executive","Not in family","White"," Male","> 50K USD"
"Self emp inc","HS grad","Divorced","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","5th to 6th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Divorced","Tech support","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","White"," Female","> 50K USD"
"Self emp inc","Some college","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Separated","Sales","Own child","Black"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Mechanic","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Other","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Local gov","7th to 8th","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Other service","Wife","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Not in family","White"," Female","> 50K USD"
"Private","HS grad","Divorced","Sales","Own child","White"," Female","<= 50K USD"
"Local gov","HS grad","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","9th","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Federal gov","Doctorate","Never married","Prof specialty","Not in family","White"," Female","> 50K USD"
"Private","Assoc voc","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Craft and Repair","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Divorced","Mechanic","Unmarried","Black"," Female","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Local gov","Some college","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Assoc acdm","Divorced","Executive","Unmarried","White"," Female","<= 50K USD"
"Federal gov","HS grad","Never married","Other service","Own child","Black"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Self emp not inc","Masters","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Never married","Tech support","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Self emp inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","11th","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Local gov","HS grad","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Sales","Other","White"," Male","<= 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Other service","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Sales","Wife","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Own child","White"," Female","<= 50K USD"
"Private","9th","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Local gov","Assoc voc","Married to civilian","Craft and Repair","Husband","Black"," Male","> 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Executive","Own child","Black"," Male","<= 50K USD"
"State gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Other service","Own child","Black"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Wife","White"," Female","> 50K USD"
"Private","Some college","Never married","Admin","Own child","White"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","Some college","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Divorced","Tech support","Not in family","Black"," Female","<= 50K USD"
"Federal gov","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Private","Some college","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","Asian"," Male","> 50K USD"
"Self emp inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Private","Some college","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Assoc voc","Never married","Prof specialty","Not in family","White"," Female","> 50K USD"
"Private","Some college","Never married","Tech support","Other","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Transportation","Unmarried","Black"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Widowed","Other service","Unmarried","White"," Female","<= 50K USD"
"Private","11th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Local gov","Some college","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Never married","Executive","Other","Asian"," Female","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Separated","Sales","Unmarried","Black"," Male","<= 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Separated","Other service","Other","Black"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Unmarried","White"," Female","<= 50K USD"
"Self emp inc","Masters","Divorced","Executive","Unmarried","Asian"," Female","<= 50K USD"
"Private","HS grad","Never married","Executive","Not in family","Asian"," Female","<= 50K USD"
"Self emp not inc","Masters","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Divorced","Other service","Unmarried","White"," Female","<= 50K USD"
"Federal gov","Assoc acdm","Never married","Executive","Not in family","White"," Male","<= 50K USD"
"State gov","Masters","Widowed","Protective service","Unmarried","White"," Male","<= 50K USD"
"Private","11th","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Local gov","Assoc voc","Widowed","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Other service","Not in family","White"," Male","<= 50K USD"
"State gov","HS grad","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"State gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married spouse absent","Sales","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Own child","Black"," Male","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Not in family","Black"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Local gov","Some college","Married to civilian","Executive","Husband","Black"," Male","> 50K USD"
"Private","Some college","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Never married","Craft and Repair","Not in family","Black"," Male","<= 50K USD"
"Private","7th to 8th","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Federal gov","Some college","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Admin","Husband","Black"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Divorced","Executive","Not in family","White"," Female","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Wife","White"," Female","<= 50K USD"
"State gov","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Divorced","Mechanic","Not in family","Black"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Craft and Repair","Husband","Black"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Tech support","Husband","White"," Male","<= 50K USD"
"Federal gov","Bachelors","Married to civilian","Tech support","Husband","White"," Male","<= 50K USD"
"Private","5th to 6th","Married to civilian","Transportation","Other","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Federal gov","Masters","Never married","Executive","Not in family","White"," Female","> 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Other","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","Masters","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Local gov","Some college","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"State gov","HS grad","Divorced","Admin","Unmarried","White"," Female","<= 50K USD"
"Private","11th","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Other service","Husband","Black"," Male","> 50K USD"
"Private","HS grad","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Self emp inc","HS grad","Married to civilian","Sales","Wife","White"," Female","> 50K USD"
"Private","11th","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Local gov","HS grad","Married to civilian","Transportation","Husband","Black"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Sales","Not in family","Native American"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","Asian"," Male","<= 50K USD"
"Self emp inc","7th to 8th","Married to civilian","Mechanic","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Executive","Not in family","Black"," Male","> 50K USD"
"Private","Assoc acdm","Divorced","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","10th","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Not in family","Black"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Husband","Black"," Male","<= 50K USD"
"Local gov","Preschool","Never married","Mechanic","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Widowed","Admin","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","11th","Separated","Transportation","Not in family","Black"," Male","<= 50K USD"
"Private","HS grad","Divorced","Sales","Unmarried","Black"," Female","<= 50K USD"
"Private","Some college","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Craft and Repair","Other","Other"," Female","<= 50K USD"
"Private","Prof school","Never married","Prof specialty","Not in family","White"," Male","> 50K USD"
"State gov","HS grad","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"State gov","Some college","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Local gov","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Transportation","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Other service","Wife","White"," Female","<= 50K USD"
"State gov","Assoc acdm","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"Private","Some college","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Married to civilian","Admin","Wife","Black"," Female","<= 50K USD"
"Local gov","10th","Widowed","Other service","Unmarried","Black"," Female","<= 50K USD"
"Local gov","Some college","Never married","Admin","Own child","White"," Male","<= 50K USD"
"Private","Some college","Never married","Transportation","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","Asian"," Male","> 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Separated","Other service","Not in family","White"," Female","<= 50K USD"
"Private","Assoc voc","Widowed","Executive","Not in family","White"," Female","<= 50K USD"
"Private","7th to 8th","Divorced","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Prof specialty","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Executive","Husband","Asian"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Wife","White"," Female","> 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","9th","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Self emp not inc","Masters","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Local gov","Masters","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Prof specialty","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","Black"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Executive","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Never married","Tech support","Own child","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Mechanic","Wife","White"," Female","> 50K USD"
"Private","Bachelors","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Local gov","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Assoc acdm","Divorced","Sales","Unmarried","Black"," Female","<= 50K USD"
"Private","Bachelors","Divorced","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Federal gov","Masters","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Divorced","Other service","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Executive","Not in family","White"," Female","<= 50K USD"
"Private","7th to 8th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Local gov","Bachelors","Never married","Protective service","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Tech support","Unmarried","Black"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Self emp inc","Bachelors","Divorced","Sales","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Sales","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Other service","Not in family","Asian"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Admin","Wife","Asian"," Female","<= 50K USD"
"Private","HS grad","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Assoc acdm","Never married","Tech support","Not in family","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Self emp inc","Some college","Married to civilian","Farming and fishing","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","Asian"," Male","> 50K USD"
"Self emp not inc","Bachelors","Divorced","Prof specialty","Not in family","Black"," Female","> 50K USD"
"Private","Some college","Never married","Sales","Own child","White"," Male","<= 50K USD"
"Private","Some college","Never married","Mechanic","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","5th to 6th","Married to civilian","Mechanic","Other","White"," Female","<= 50K USD"
"Private","Some college","Never married","Tech support","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Widowed","Other service","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","11th","Never married","Executive","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","Masters","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Prof specialty","Wife","White"," Female","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Craft and Repair","Not in family","Black"," Male","<= 50K USD"
"Private","Bachelors","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Private","Assoc voc","Never married","Other service","Not in family","White"," Male","<= 50K USD"
"Local gov","10th","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","5th to 6th","Never married","Other service","Other","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Other","White"," Male","<= 50K USD"
"Private","Masters","Never married","Prof specialty","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Sales","Unmarried","Black"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Other service","Husband","Black"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"State gov","HS grad","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"State gov","Some college","Never married","Protective service","Own child","Black"," Female","<= 50K USD"
"Self emp not inc","Bachelors","Never married","Sales","Not in family","White"," Male","<= 50K USD"
"Private","Assoc acdm","Married spouse absent","Other service","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Local gov","11th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Federal gov","HS grad","Married to civilian","Admin","Husband","White"," Male","> 50K USD"
"Private","11th","Widowed","Other service","Unmarried","Other"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Tech support","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Self emp not inc","9th","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","10th","Married to civilian","Other service","Wife","White"," Female","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","Bachelors","Divorced","Executive","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Married spouse absent","Sales","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Sales","Not in family","White"," Female","<= 50K USD"
"Private","Bachelors","Divorced","Executive","Not in family","White"," Female","> 50K USD"
"Private","HS grad","Divorced","Sales","Unmarried","White"," Female","<= 50K USD"
"Federal gov","Some college","Never married","Admin","Unmarried","White"," Female","<= 50K USD"
