"native_country","variable","value"
"Peru","7th to 8th",0.0333333333333333
"Philippines","7th to 8th",0.00531914893617021
"Poland","7th to 8th",0.0357142857142857
"Portugal","7th to 8th",0.147058823529412
"Puerto Rico","7th to 8th",0.0917431192660551
"Scotland","7th to 8th",0
"South Korea","7th to 8th",0.0140845070422535
"Taiwan","7th to 8th",0
"Thailand","7th to 8th",0
"Trinadad&Tobago","7th to 8th",0.0555555555555556
"United States","7th to 8th",0.0158885980221059
"Vietnam","7th to 8th",0.015625
"Yugoslavia","7th to 8th",0.0625
"Cambodia","9th",0
"Canada","9th",0.0280373831775701
"China","9th",0.0294117647058824
"Columbia","9th",0.0535714285714286
"Cuba","9th",0.0217391304347826
"Dominican Republic","9th",0.0746268656716418
"Ecuador","9th",0
"El Salvador","9th",0.09
"England","9th",0
"France","9th",0
"Germany","9th",0
"Greece","9th",0
"Guatemala","9th",0.0634920634920635
"Haiti","9th",0.0714285714285714
"Netherlands","9th",0
"Honduras","9th",0
"Hong Kong","9th",0
"Hungary","9th",0
"India","9th",0.01
"Iran","9th",0
"Ireland","9th",0.0416666666666667
"Italy","9th",0
"Jamaica","9th",0.025
"Japan","9th",0
"Laos","9th",0
"Mexico","9th",0.0836065573770492
"Nicaragua","9th",0.0303030303030303
"Guam and USVI","9th",0.0714285714285714
"Peru","9th",0
"Philippines","9th",0.0159574468085106
"Poland","9th",0.0178571428571429
"Portugal","9th",0.117647058823529
"Puerto Rico","9th",0.036697247706422
"Scotland","9th",0
"South Korea","9th",0
"Taiwan","9th",0
"Thailand","9th",0
"Trinadad&Tobago","9th",0.166666666666667
"United States","9th",0.0127254217568354
"Vietnam","9th",0.015625
"Yugoslavia","9th",0.0625
"Cambodia","10th",0
"Canada","10th",0.0186915887850467
"China","10th",0.0294117647058824
"Columbia","10th",0.0357142857142857
"Cuba","10th",0.0108695652173913
"Dominican Republic","10th",0.0597014925373134
"Ecuador","10th",0.037037037037037
"El Salvador","10th",0.04
"England","10th",0.0116279069767442
"France","10th",0
"Germany","10th",0.0078125
"Greece","10th",0.0344827586206897
"Guatemala","10th",0.0634920634920635
"Haiti","10th",0.0238095238095238
"Netherlands","10th",0
"Honduras","10th",0
"Hong Kong","10th",0
"Hungary","10th",0
"India","10th",0.02
"Iran","10th",0
"Ireland","10th",0
"Italy","10th",0.0147058823529412
"Jamaica","10th",0.025
"Japan","10th",0.0169491525423729
"Laos","10th",0
"Mexico","10th",0.040983606557377
"Nicaragua","10th",0.0303030303030303
"Guam and USVI","10th",0
"Peru","10th",0.0666666666666667
"Philippines","10th",0.00531914893617021
"Poland","10th",0
"Portugal","10th",0.0882352941176471
"Puerto Rico","10th",0.018348623853211
"Scotland","10th",0
"South Korea","10th",0
"Taiwan","10th",0
"Thailand","10th",0
"Trinadad&Tobago","10th",0
"United States","10th",0.0273414776032577
"Vietnam","10th",0.046875
"Yugoslavia","10th",0.0625
"Cambodia","11th",0
"Canada","11th",0.0373831775700935
"China","11th",0
"Columbia","11th",0.0178571428571429
"Cuba","11th",0.0108695652173913
"Dominican Republic","11th",0.0597014925373134
"Ecuador","11th",0
"El Salvador","11th",0.04
"England","11th",0.0116279069767442
"France","11th",0
"Germany","11th",0.0234375
"Greece","11th",0.0344827586206897
"Guatemala","11th",0.0634920634920635
"Haiti","11th",0.0476190476190476
"Netherlands","11th",0
"Honduras","11th",0.166666666666667
"Hong Kong","11th",0.0526315789473684
"Hungary","11th",0
"India","11th",0.06
"Iran","11th",0
"Ireland","11th",0.0416666666666667
"Italy","11th",0
"Jamaica","11th",0.05
"Japan","11th",0
"Laos","11th",0
"Mexico","11th",0.040983606557377
"Nicaragua","11th",0.0909090909090909
"Guam and USVI","11th",0
"Peru","11th",0.0666666666666667
"Philippines","11th",0.0319148936170213
"Poland","11th",0.0357142857142857
"Portugal","11th",0
"Puerto Rico","11th",0.073394495412844
"Scotland","11th",0.0909090909090909
"South Korea","11th",0.028169014084507
"Taiwan","11th",0
"Thailand","11th",0
"Trinadad&Tobago","11th",0
"United States","11th",0.0347949389179756
"Vietnam","11th",0.046875
"Yugoslavia","11th",0
"Cambodia","12th",0.0555555555555556
"Canada","12th",0
"China","12th",0
"Columbia","12th",0.0357142857142857
"Cuba","12th",0.0326086956521739
"Dominican Republic","12th",0.0746268656716418
"Ecuador","12th",0.037037037037037
"El Salvador","12th",0.02
"England","12th",0.0116279069767442
"France","12th",0
"Germany","12th",0.0078125
"Greece","12th",0
"Guatemala","12th",0.0317460317460317
"Haiti","12th",0
"Netherlands","12th",0
"Honduras","12th",0
"Hong Kong","12th",0
"Hungary","12th",0
"India","12th",0
"Iran","12th",0
"Ireland","12th",0
"Italy","12th",0.0588235294117647
"Jamaica","12th",0.025
"Japan","12th",0
"Laos","12th",0
"Mexico","12th",0.0262295081967213
"Nicaragua","12th",0.0303030303030303
"Guam and USVI","12th",0
"Peru","12th",0
"Philippines","12th",0
"Poland","12th",0
"Portugal","12th",0.0294117647058824
"Puerto Rico","12th",0.00917431192660551
"Scotland","12th",0
"South Korea","12th",0
"Taiwan","12th",0
"Thailand","12th",0.0588235294117647
"Trinadad&Tobago","12th",0.0555555555555556
"United States","12th",0.0120346131471786
"Vietnam","12th",0.015625
"Yugoslavia","12th",0
"Cambodia","HS grad",0.388888888888889
"Canada","HS grad",0.261682242990654
"China","HS grad",0.235294117647059
"Columbia","HS grad",0.321428571428571
"Cuba","HS grad",0.25
"Dominican Republic","HS grad",0.238805970149254
"Ecuador","HS grad",0.37037037037037
"El Salvador","HS grad",0.2
"England","HS grad",0.302325581395349
"France","HS grad",0.222222222222222
"Germany","HS grad",0.203125
"Greece","HS grad",0.310344827586207
"Guatemala","HS grad",0.238095238095238
"Haiti","HS grad",0.285714285714286
"Netherlands","HS grad",0
"Honduras","HS grad",0.25
"Hong Kong","HS grad",0.210526315789474
"Hungary","HS grad",0.384615384615385
"India","HS grad",0.06
"Iran","HS grad",0.0952380952380952
"Ireland","HS grad",0.5
"Italy","HS grad",0.235294117647059
"Jamaica","HS grad",0.325
"Japan","HS grad",0.288135593220339
"Laos","HS grad",0.294117647058824
"Mexico","HS grad",0.2
"Nicaragua","HS grad",0.272727272727273
"Guam and USVI","HS grad",0.214285714285714
"Peru","HS grad",0.433333333333333
"Philippines","HS grad",0.159574468085106
"Poland","HS grad",0.339285714285714
"Portugal","HS grad",0.264705882352941
"Puerto Rico","HS grad",0.339449541284404
"Scotland","HS grad",0.363636363636364
"South Korea","HS grad",0.295774647887324
"Taiwan","HS grad",0.0714285714285714
"Thailand","HS grad",0.352941176470588
"Trinadad&Tobago","HS grad",0.333333333333333
"United States","HS grad",0.334824025596277
"Vietnam","HS grad",0.25
"Yugoslavia","HS grad",0.1875
"Cambodia","Assoc voc",0
"Canada","Assoc voc",0.0560747663551402
"China","Assoc voc",0
"Columbia","Assoc voc",0.0892857142857143
"Cuba","Assoc voc",0.0217391304347826
"Dominican Republic","Assoc voc",0.0149253731343284
"Ecuador","Assoc voc",0.037037037037037
"El Salvador","Assoc voc",0
"England","Assoc voc",0.0348837209302326
"France","Assoc voc",0
"Germany","Assoc voc",0.078125
"Greece","Assoc voc",0.137931034482759
"Guatemala","Assoc voc",0.0158730158730159
"Haiti","Assoc voc",0
"Netherlands","Assoc voc",0
"Honduras","Assoc voc",0
"Hong Kong","Assoc voc",0.0526315789473684
"Hungary","Assoc voc",0.0769230769230769
"India","Assoc voc",0.02
"Iran","Assoc voc",0
"Ireland","Assoc voc",0.0416666666666667
"Italy","Assoc voc",0.0147058823529412
"Jamaica","Assoc voc",0.0375
"Japan","Assoc voc",0.0338983050847458
"Laos","Assoc voc",0.0588235294117647
"Mexico","Assoc voc",0.0131147540983607
"Nicaragua","Assoc voc",0.0303030303030303
"Guam and USVI","Assoc voc",0
"Peru","Assoc voc",0.0333333333333333
"Philippines","Assoc voc",0.0319148936170213
"Poland","Assoc voc",0.0357142857142857
"Portugal","Assoc voc",0.0588235294117647
"Puerto Rico","Assoc voc",0.018348623853211
"Scotland","Assoc voc",0
"South Korea","Assoc voc",0.0422535211267606
"Taiwan","Assoc voc",0
"Thailand","Assoc voc",0.0588235294117647
"Trinadad&Tobago","Assoc voc",0
"United States","Assoc voc",0.0448298429319372
"Vietnam","Assoc voc",0.03125
"Yugoslavia","Assoc voc",0.0625
"Cambodia","Assoc acdm",0
"Canada","Assoc acdm",0.00934579439252336
"China","Assoc acdm",0
"Columbia","Assoc acdm",0.0714285714285714
"Cuba","Assoc acdm",0.0326086956521739
"Dominican Republic","Assoc acdm",0
"Ecuador","Assoc acdm",0
"El Salvador","Assoc acdm",0.02
"England","Assoc acdm",0.0581395348837209
"France","Assoc acdm",0.111111111111111
"Germany","Assoc acdm",0.0390625
"Greece","Assoc acdm",0
"Guatemala","Assoc acdm",0
"Haiti","Assoc acdm",0.0476190476190476
"Netherlands","Assoc acdm",0
"Honduras","Assoc acdm",0
"Hong Kong","Assoc acdm",0.0526315789473684
"Hungary","Assoc acdm",0.0769230769230769
"India","Assoc acdm",0.03
"Iran","Assoc acdm",0.0952380952380952
"Ireland","Assoc acdm",0.0416666666666667
"Italy","Assoc acdm",0.0441176470588235
"Jamaica","Assoc acdm",0.0875
"Japan","Assoc acdm",0.0169491525423729
"Laos","Assoc acdm",0.0588235294117647
"Mexico","Assoc acdm",0.00491803278688525
"Nicaragua","Assoc acdm",0.0303030303030303
"Guam and USVI","Assoc acdm",0
"Peru","Assoc acdm",0.0333333333333333
"Philippines","Assoc acdm",0.0265957446808511
"Poland","Assoc acdm",0.0535714285714286
"Portugal","Assoc acdm",0.0294117647058824
"Puerto Rico","Assoc acdm",0.018348623853211
"Scotland","Assoc acdm",0
"South Korea","Assoc acdm",0
"Taiwan","Assoc acdm",0.0238095238095238
"Thailand","Assoc acdm",0.0588235294117647
"Trinadad&Tobago","Assoc acdm",0.0555555555555556
"United States","Assoc acdm",0.0341404886561955
"Vietnam","Assoc acdm",0.015625
"Yugoslavia","Assoc acdm",0.125
"Cambodia","Some college",0.222222222222222
"Canada","Some college",0.205607476635514
"China","Some college",0.0294117647058824
"Columbia","Some college",0.160714285714286
"Cuba","Some college",0.184782608695652
"Dominican Republic","Some college",0.119402985074627
"Ecuador","Some college",0.259259259259259
"El Salvador","Some college",0.14
"England","Some college",0.116279069767442
"France","Some college",0.0740740740740741
"Germany","Some college",0.25
"Greece","Some college",0.172413793103448
"Guatemala","Some college",0.0952380952380952
"Haiti","Some college",0.261904761904762
"Netherlands","Some college",1
"Honduras","Some college",0.25
"Hong Kong","Some college",0.0526315789473684
"Hungary","Some college",0.153846153846154
"India","Some college",0.1
"Iran","Some college",0.19047619047619
"Ireland","Some college",0.0833333333333333
"Italy","Some college",0.117647058823529
"Jamaica","Some college",0.2875
"Japan","Some college",0.169491525423729
"Laos","Some college",0.235294117647059
"Mexico","Some college",0.1
"Nicaragua","Some college",0.272727272727273
"Guam and USVI","Some college",0.428571428571429
"Peru","Some college",0.2
"Philippines","Some college",0.202127659574468
"Poland","Some college",0.196428571428571
"Portugal","Some college",0
"Puerto Rico","Some college",0.18348623853211
"Scotland","Some college",0.272727272727273
"South Korea","Some college",0.183098591549296
"Taiwan","Some college",0.0714285714285714
"Thailand","Some college",0.117647058823529
"Trinadad&Tobago","Some college",0.222222222222222
"United States","Some college",0.22760325770797
"Vietnam","Some college",0.28125
"Yugoslavia","Some college",0.1875
"Cambodia","Bachelors",0.166666666666667
"Canada","Bachelors",0.205607476635514
"China","Bachelors",0.279411764705882
"Columbia","Bachelors",0.0714285714285714
"Cuba","Bachelors",0.184782608695652
"Dominican Republic","Bachelors",0.0447761194029851
"Ecuador","Bachelors",0.111111111111111
"El Salvador","Bachelors",0.05
"England","Bachelors",0.267441860465116
"France","Bachelors",0.259259259259259
"Germany","Bachelors",0.2578125
"Greece","Bachelors",0.0689655172413793
"Guatemala","Bachelors",0.0158730158730159
"Haiti","Bachelors",0.119047619047619
"Netherlands","Bachelors",0
"Honduras","Bachelors",0.0833333333333333
"Hong Kong","Bachelors",0.210526315789474
"Hungary","Bachelors",0.307692307692308
"India","Bachelors",0.21
"Iran","Bachelors",0.357142857142857
"Ireland","Bachelors",0.208333333333333
"Italy","Bachelors",0.161764705882353
"Jamaica","Bachelors",0.0875
"Japan","Bachelors",0.322033898305085
"Laos","Bachelors",0.0588235294117647
"Mexico","Bachelors",0.0459016393442623
"Nicaragua","Bachelors",0.0303030303030303
"Guam and USVI","Bachelors",0.285714285714286
"Peru","Bachelors",0.1
"Philippines","Bachelors",0.388297872340426
"Poland","Bachelors",0.196428571428571
"Portugal","Bachelors",0.0588235294117647
"Puerto Rico","Bachelors",0.119266055045872
"Scotland","Bachelors",0.0909090909090909
"South Korea","Bachelors",0.309859154929577
"Taiwan","Bachelors",0.285714285714286
"Thailand","Bachelors",0.235294117647059
"Trinadad&Tobago","Bachelors",0
"United States","Bachelors",0.167902850494474
"Vietnam","Bachelors",0.203125
"Yugoslavia","Bachelors",0.25
"Cambodia","Masters",0
"Canada","Masters",0.0654205607476635
"China","Masters",0.161764705882353
"Columbia","Masters",0.0178571428571429
"Cuba","Masters",0.0543478260869565
"Dominican Republic","Masters",0.0298507462686567
"Ecuador","Masters",0.0740740740740741
"El Salvador","Masters",0.03
"England","Masters",0.104651162790698
"France","Masters",0.185185185185185
"Germany","Masters",0.0390625
"Greece","Masters",0.103448275862069
"Guatemala","Masters",0
"Haiti","Masters",0
"Netherlands","Masters",0
"Honduras","Masters",0
"Hong Kong","Masters",0.157894736842105
"Hungary","Masters",0
"India","Masters",0.27
"Iran","Masters",0.142857142857143
"Ireland","Masters",0.0416666666666667
"Italy","Masters",0.0441176470588235
"Jamaica","Masters",0.025
"Japan","Masters",0.101694915254237
"Laos","Masters",0
"Mexico","Masters",0.00819672131147541
"Nicaragua","Masters",0.0606060606060606
"Guam and USVI","Masters",0
"Peru","Masters",0.0333333333333333
"Philippines","Masters",0.0372340425531915
"Poland","Masters",0.0535714285714286
"Portugal","Masters",0.0294117647058824
"Puerto Rico","Masters",0
"Scotland","Masters",0.181818181818182
"South Korea","Masters",0.0985915492957746
"Taiwan","Masters",0.285714285714286
"Thailand","Masters",0.0588235294117647
"Trinadad&Tobago","Masters",0.0555555555555556
"United States","Masters",0.053955788248982
"Vietnam","Masters",0
"Yugoslavia","Masters",0
"Cambodia","Prof school",0
"Canada","Prof school",0.0186915887850467
"China","Prof school",0.0147058823529412
"Columbia","Prof school",0.0357142857142857
"Cuba","Prof school",0.0326086956521739
"Dominican Republic","Prof school",0
"Ecuador","Prof school",0
"El Salvador","Prof school",0.01
"England","Prof school",0.0116279069767442
"France","Prof school",0.037037037037037
"Germany","Prof school",0.03125
"Greece","Prof school",0.0344827586206897
"Guatemala","Prof school",0
"Haiti","Prof school",0.0238095238095238
"Netherlands","Prof school",0
"Honduras","Prof school",0.0833333333333333
"Hong Kong","Prof school",0
"Hungary","Prof school",0
"India","Prof school",0.16
"Iran","Prof school",0
"Ireland","Prof school",0
"Italy","Prof school",0.0294117647058824
"Jamaica","Prof school",0
"Japan","Prof school",0.0338983050847458
"Laos","Prof school",0.0588235294117647
"Mexico","Prof school",0.00163934426229508
"Nicaragua","Prof school",0
"Guam and USVI","Prof school",0
"Peru","Prof school",0
"Philippines","Prof school",0.0531914893617021
"Poland","Prof school",0
"Portugal","Prof school",0
"Puerto Rico","Prof school",0
"Scotland","Prof school",0
"South Korea","Prof school",0.0140845070422535
"Taiwan","Prof school",0.0714285714285714
"Thailand","Prof school",0
"Trinadad&Tobago","Prof school",0
"United States","Prof school",0.0177428737638162
"Vietnam","Prof school",0
"Yugoslavia","Prof school",0
"Cambodia","Doctorate",0
"Canada","Doctorate",0.0654205607476635
"China","Doctorate",0.132352941176471
"Columbia","Doctorate",0.0178571428571429
"Cuba","Doctorate",0.0217391304347826
"Dominican Republic","Doctorate",0
"Ecuador","Doctorate",0
"El Salvador","Doctorate",0.01
"England","Doctorate",0.0465116279069767
"France","Doctorate",0.111111111111111
"Germany","Doctorate",0.046875
"Greece","Doctorate",0
"Guatemala","Doctorate",0
"Haiti","Doctorate",0
"Netherlands","Doctorate",0
"Honduras","Doctorate",0
"Hong Kong","Doctorate",0.105263157894737
"Hungary","Doctorate",0
"India","Doctorate",0.05
"Iran","Doctorate",0.119047619047619
"Ireland","Doctorate",0
"Italy","Doctorate",0.0147058823529412
"Jamaica","Doctorate",0.0125
"Japan","Doctorate",0.0169491525423729
"Laos","Doctorate",0
"Mexico","Doctorate",0.00163934426229508
"Nicaragua","Doctorate",0
"Guam and USVI","Doctorate",0
"Peru","Doctorate",0
"Philippines","Doctorate",0
"Poland","Doctorate",0.0178571428571429
"Portugal","Doctorate",0
"Puerto Rico","Doctorate",0
"Scotland","Doctorate",0
"South Korea","Doctorate",0.0140845070422535
"Taiwan","Doctorate",0.19047619047619
"Thailand","Doctorate",0.0588235294117647
"Trinadad&Tobago","Doctorate",0
"United States","Doctorate",0.0114165212332752
"Vietnam","Doctorate",0.015625
"Yugoslavia","Doctorate",0
