"native_country","variable","value"
"France","Self emp inc",0.037037037037037
"Germany","Self emp inc",0.046875
"Greece","Self emp inc",0.103448275862069
"Guatemala","Self emp inc",0
"Haiti","Self emp inc",0.0238095238095238
"Netherlands","Self emp inc",0
"Honduras","Self emp inc",0.166666666666667
"Hong Kong","Self emp inc",0
"Hungary","Self emp inc",0.0769230769230769
"India","Self emp inc",0.07
"Iran","Self emp inc",0.0476190476190476
"Ireland","Self emp inc",0
"Italy","Self emp inc",0.0441176470588235
"Jamaica","Self emp inc",0.0125
"Japan","Self emp inc",0.0338983050847458
"Laos","Self emp inc",0
"Mexico","Self emp inc",0.0131147540983607
"Nicaragua","Self emp inc",0
"Guam and USVI","Self emp inc",0
"Peru","Self emp inc",0
"Philippines","Self emp inc",0.0106382978723404
"Poland","Self emp inc",0.0178571428571429
"Portugal","Self emp inc",0.0588235294117647
"Puerto Rico","Self emp inc",0
"Scotland","Self emp inc",0
"South Korea","Self emp inc",0.0985915492957746
"Taiwan","Self emp inc",0.166666666666667
"Thailand","Self emp inc",0.176470588235294
"Trinadad&Tobago","Self emp inc",0.0555555555555556
"United States","Self emp inc",0.0360311227457824
"Vietnam","Self emp inc",0.015625
"Yugoslavia","Self emp inc",0.0625
"Cambodia","Self emp not inc",0.0555555555555556
"Canada","Self emp not inc",0.102803738317757
"China","Self emp not inc",0.0735294117647059
"Columbia","Self emp not inc",0.125
"Cuba","Self emp not inc",0.0869565217391304
"Dominican Republic","Self emp not inc",0.0298507462686567
"Ecuador","Self emp not inc",0.037037037037037
"El Salvador","Self emp not inc",0.04
"England","Self emp not inc",0.104651162790698
"France","Self emp not inc",0.0740740740740741
"Germany","Self emp not inc",0.046875
"Greece","Self emp not inc",0.241379310344828
"Guatemala","Self emp not inc",0
"Haiti","Self emp not inc",0
"Netherlands","Self emp not inc",0
"Honduras","Self emp not inc",0.0833333333333333
"Hong Kong","Self emp not inc",0
"Hungary","Self emp not inc",0.230769230769231
"India","Self emp not inc",0.07
"Iran","Self emp not inc",0.214285714285714
"Ireland","Self emp not inc",0.0416666666666667
"Italy","Self emp not inc",0.191176470588235
"Jamaica","Self emp not inc",0.05
"Japan","Self emp not inc",0.101694915254237
"Laos","Self emp not inc",0
"Mexico","Self emp not inc",0.0442622950819672
"Nicaragua","Self emp not inc",0.0606060606060606
"Guam and USVI","Self emp not inc",0.0714285714285714
"Peru","Self emp not inc",0.0666666666666667
"Philippines","Self emp not inc",0.0265957446808511
"Poland","Self emp not inc",0.0714285714285714
"Portugal","Self emp not inc",0.0588235294117647
"Puerto Rico","Self emp not inc",0.0458715596330275
"Scotland","Self emp not inc",0.0909090909090909
"South Korea","Self emp not inc",0.28169014084507
"Taiwan","Self emp not inc",0.0238095238095238
"Thailand","Self emp not inc",0.176470588235294
"Trinadad&Tobago","Self emp not inc",0.0555555555555556
"United States","Self emp not inc",0.0840968586387435
"Vietnam","Self emp not inc",0.0625
"Yugoslavia","Self emp not inc",0.0625
"Cambodia","State gov",0
"Canada","State gov",0.0280373831775701
"China","State gov",0.132352941176471
"Columbia","State gov",0.0178571428571429
"Cuba","State gov",0
"Dominican Republic","State gov",0
"Ecuador","State gov",0
"El Salvador","State gov",0
"England","State gov",0.0348837209302326
"France","State gov",0.037037037037037
"Germany","State gov",0.0390625
"Greece","State gov",0
"Guatemala","State gov",0
"Haiti","State gov",0.0476190476190476
"Netherlands","State gov",0
"Honduras","State gov",0.0833333333333333
"Hong Kong","State gov",0.105263157894737
"Hungary","State gov",0
"India","State gov",0.12
"Iran","State gov",0.0238095238095238
"Ireland","State gov",0
"Italy","State gov",0.0294117647058824
"Jamaica","State gov",0.025
"Japan","State gov",0.0338983050847458
"Laos","State gov",0
"Mexico","State gov",0.00491803278688525
"Nicaragua","State gov",0.0303030303030303
"Guam and USVI","State gov",0.0714285714285714
"Peru","State gov",0
"Philippines","State gov",0.0159574468085106
"Poland","State gov",0
"Portugal","State gov",0.0294117647058824
"Puerto Rico","State gov",0.036697247706422
"Scotland","State gov",0.0909090909090909
"South Korea","State gov",0
"Taiwan","State gov",0.142857142857143
"Thailand","State gov",0.0588235294117647
"Trinadad&Tobago","State gov",0.0555555555555556
"United States","State gov",0.0439936009307737
"Vietnam","State gov",0.015625
"Yugoslavia","State gov",0
"Cambodia","Without pay",0
"Canada","Without pay",0
"China","Without pay",0
"Columbia","Without pay",0
"Cuba","Without pay",0
"Dominican Republic","Without pay",0
"Ecuador","Without pay",0
"El Salvador","Without pay",0
"England","Without pay",0
"France","Without pay",0
"Germany","Without pay",0
"Greece","Without pay",0
"Guatemala","Without pay",0
"Haiti","Without pay",0
"Netherlands","Without pay",0
"Honduras","Without pay",0
"Hong Kong","Without pay",0
"Hungary","Without pay",0
"India","Without pay",0
"Iran","Without pay",0
"Ireland","Without pay",0
"Italy","Without pay",0
"Jamaica","Without pay",0
"Japan","Without pay",0
"Laos","Without pay",0
"Mexico","Without pay",0
"Nicaragua","Without pay",0
"Guam and USVI","Without pay",0
"Peru","Without pay",0
"Philippines","Without pay",0.00531914893617021
"Poland","Without pay",0
"Portugal","Without pay",0
"Puerto Rico","Without pay",0
"Scotland","Without pay",0
"South Korea","Without pay",0
"Taiwan","Without pay",0
"Thailand","Without pay",0
"Trinadad&Tobago","Without pay",0
"United States","Without pay",0.000472658522396742
"Vietnam","Without pay",0
"Yugoslavia","Without pay",0
